companhia;receitas;ativos;passivos;depreciacao;ganhosPorAcao
70415.0;;302350000.0;144006000.0;3500000.0;1.1
70487.0;102343000.0;129099000.0;54877000.0;;
70502.0;;24270200000.0;23452822000.0;7327000.0;
70793.0;;4868409000.0;3436663000.0;89850000.0;
70858.0;82507000000.0;2144316000000.0;1888111000000.0;;1.38
70866.0;6373000000.0;7635000000.0;6095000000.0;91000000.0;-1.09
71180.0;17880000000.0;83618000000.0;61083000000.0;;
71508.0;;44647681000.0;;;-0.99
71557.0;;119636328.0;;7276434.0;
71691.0;1579215000.0;2417690000.0;;;0.38
71829.0;676865000.0;848893000.0;328634000.0;39300000.0;-1.1
72162.0;;349323000.0;;3600000.0;
72205.0;;42440857.0;;110169.0;0.72
72207.0;3133000000.0;24196000000.0;13826000000.0;;-6.07
72331.0;;2360444000.0;;37707000.0;3.48
72333.0;14437000000.0;7698000000.0;;560000000.0;3.22
72573.0;;585170000.0;144023000.0;;1.92
72741.0;7954827000.0;30580309000.0;;665856000.0;2.77
72903.0;11024486000.0;39053535000.0;;;1.94
72909.0;956541000.0;2300889000.0;;;
72971.0;;1787632000000.0;1593741000000.0;;4.18
73020.0;723791000.0;3076692000.0;;;1.96
73088.0;1214299000.0;5278640000.0;3678466000.0;;3.2
73124.0;4702600000.0;116749600000.0;108043700000.0;;4.03
73309.0;;14250399000.0;6464386000.0;625757000.0;1.11
73756.0;3062754000.0;3429536000.0;;;2.35
73887.0;1715513000.0;3271862000.0;;;-2.12
73986.0;16453200000.0;61683100000.0;43778200000.0;1674300000.0;4.17
74046.0;;190031000.0;79503000.0;10352000.0;
74145.0;;8541800000.0;5386100000.0;;
74208.0;894638000.0;7663844000.0;3816797000.0;;1.3
74260.0;5766100000.0;17110500000.0;13229600000.0;26600000.0;1.63
74303.0;;9321800000.0;6903000000.0;198100000.0;-0.01
75208.0;964506000.0;3274952000.0;1694464000.0;14400000.0;
75252.0;;2777840000.0;1785250000.0;;1.65
75288.0;;582690000.0;;34476000.0;1.86
75340.0;81702000.0;70578000.0;26936000.0;;0.98
75362.0;19115100000.0;21109800000.0;;;4.52
75439.0;9887000.0;18378000.0;9212000.0;;
75488.0;16833000000.0;63339000000.0;;;1.81
75594.0;17880000000.0;83618000000.0;61083000000.0;;
75677.0;;5284600000.0;;323000000.0;4.47
75679.0;978534000.0;1982308000.0;1772213000.0;;
76063.0;548000000.0;5294000000.0;;;
76149.0;;24582565.0;2357743.0;439719.0;0.99
76267.0;;314777000.0;133910000.0;;0.89
76282.0;;946600000.0;;22300000.0;3.94
76321.0;712183000.0;1376904000.0;808392000.0;151900000.0;-0.78
76334.0;11360753000.0;12056738000.0;7478060000.0;190308000.0;5.96
76605.0;;386049000.0;257452000.0;7988000.0;2.76
77159.0;305298000.0;517725000.0;;;-21.81
77281.0;425411000.0;2806516000.0;2021886000.0;132347000.0;
77360.0;;11857000000.0;7848200000.0;139500000.0;-0.42
77476.0;;69667000000.0;57637000000.0;2248000000.0;3.71
77543.0;;4042441000.0;2622214000.0;37919000.0;0.92
77776.0;790000000.0;3652000000.0;2304000000.0;;-2.62
77877.0;595326000.0;2370543000.0;1083346000.0;;-1.74
78003.0;;167460000000.0;102463000000.0;;1.13
78100.0;29447000000.0;95384000000.0;68062000000.0;2227000000.0;
78128.0;814204000.0;5741038000.0;;125290000.0;1.14
78239.0;;10696400000.0;;210800000.0;6.95
78460.0;;5110750000.0;;128722000.0;1.74
78749.0;;185157000.0;;2199000.0;-0.17
78814.0;3578060000.0;6141462000.0;5666370000.0;136000000.0;2.04
78890.0;;1946700000.0;1616100000.0;135700000.0;-0.24
79282.0;1660509000.0;5012739000.0;;;1.72
79732.0;5023000000.0;16326000000.0;;;1.29
79879.0;;17076000000.0;12007000000.0;363000000.0;5.18
80035.0;;324573000.0;;10300000.0;1.25
80172.0;;387384000.0;;10427000.0;
80420.0;661858000.0;468824000.0;135562000.0;13120000.0;0.8
80424.0;;127136000000.0;69153000000.0;;3.8
80661.0;20853800000.0;29819300000.0;22065000000.0;103700000.0;2.16
81018.0;4163513000.0;14178472000.0;;;
81020.0;;121156000000.0;;;4.05
81023.0;;6009328000.0;4271579000.0;;0.2
81027.0;16453200000.0;61683100000.0;43778200000.0;1674300000.0;4.17
81033.0;10415000000.0;37535000000.0;;;3.32
81061.0;32618759000.0;16359278000.0;3928016000.0;;
81100.0;3092700000.0;12852619000.0;;420807000.0;
81157.0;8000.0;867000.0;92453000.0;;-1.71
81318.0;23719410.0;119621453.0;;;-0.17
81362.0;;685513000.0;304270000.0;12395000.0;3.84
82020.0;;196499000.0;29872000.0;;2.3
82166.0;;306610000.0;;;0.23
82473.0;3623640.0;23940689.0;16969960.0;1178074.0;0.04
82811.0;;4591700000.0;;95500000.0;3.21
83246.0;3781000000.0;188278000000.0;167753000000.0;;
83350.0;;38187899.0;4963311.0;;
83402.0;99855000.0;211195000.0;51076000.0;;0.28
84112.0;;36668000.0;;182000.0;0.61
84129.0;;11277010000.0;10695582000.0;322396000.0;0.16
84246.0;794634000.0;2736579000.0;1913110000.0;5406000.0;3.18
84748.0;;932458000.0;;23200000.0;2.52
84839.0;;852431000.0;328402000.0;19354000.0;0.7
85408.0;2137018000.0;8347267000.0;;;
85535.0;;3066552000.0;780667000.0;;-1.18
85961.0;6571893000.0;10967809000.0;8980698000.0;1139922000.0;5.75
86115.0;;257634000.0;62129000.0;;-2.85
86264.0;;32708000.0;;;-0.08
86312.0;26800000000.0;100184000000.0;76586000000.0;;10.99
86521.0;10231000000.0;41150000000.0;;1178000000.0;5.43
87047.0;1016087.0;20134015.0;8472154.0;;
87050.0;11115000.0;5927000.0;4094000.0;;
87347.0;35475000000.0;68005000000.0;32100000000.0;3200000000.0;1.63
87565.0;;2351711000.0;1758976000.0;37257000.0;0.83
88000.0;;16142800.0;2047000.0;;0.41
88121.0;5594000000.0;4431000000.0;;;146.44
88205.0;;2181300000.0;;;-2.03
88572.0;;11744221.0;4960582.0;159345.0;0.28
88790.0;;41886000.0;22989000.0;1524000.0;0.38
88941.0;;911517000.0;;23200000.0;0.18
88948.0;;895327000.0;490153000.0;21400000.0;5.46
89089.0;2986380000.0;11718888000.0;;141456000.0;1.17
89140.0;;34374000.0;;;2.11
89270.0;;133920000.0;56917000.0;2346000.0;2.67
89439.0;;1338801000.0;479099000.0;30556000.0;1.56
90144.0;17880000000.0;83618000000.0;61083000000.0;;
90168.0;;156689000.0;;6048000.0;-0.53
